p_noise,n_runs,threshold_tau,baseline_qber_mean,baseline_qber_std,extended_qber_mean,extended_qber_std,baseline_p1_mean,extended_p1_mean,baseline_hbin_mean,extended_hbin_mean,baseline_qber_gt_tau_pct,baseline_qber_gt_tau_runs,extended_qber_gt_tau_pct,extended_qber_gt_tau_runs,baseline_action,extended_action
0.0,100,0.11,0.0,0.0,0.0,0.0,0.4996,0.4975,0.9915,0.9943,0.0,0,0.0,0,Always encrypts (no abort control),Aborts when QBER > τ (Extension 1 active)
0.025,100,0.11,0.0233,0.0294,0.023,0.0309,0.4974,0.5048,0.9928,0.9936,1.0,1,3.0,3,Always encrypts (no abort control),Aborts when QBER > τ (Extension 1 active)
0.05,100,0.11,0.0445,0.0459,0.0492,0.0436,0.5075,0.4965,0.992,0.9928,13.0,13,12.0,12,Always encrypts (no abort control),Aborts when QBER > τ (Extension 1 active)
0.075,100,0.11,0.0691,0.0489,0.0756,0.0549,0.5007,0.4884,0.9915,0.9908,25.0,25,31.0,31,Always encrypts (no abort control),Aborts when QBER > τ (Extension 1 active)
0.1,100,0.11,0.0996,0.0639,0.0945,0.0606,0.4941,0.4943,0.9914,0.9929,42.0,42,40.0,40,Always encrypts (no abort control),Aborts when QBER > τ (Extension 1 active)
0.11,100,0.11,0.1042,0.0551,0.1118,0.0594,0.4963,0.5076,0.9932,0.9929,47.0,47,54.0,54,Always encrypts (no abort control),Aborts when QBER > τ (Extension 1 active)
0.15,100,0.11,0.14,0.0602,0.1528,0.0711,0.4997,0.4935,0.9913,0.9922,72.0,72,77.0,77,Always encrypts (no abort control),Aborts when QBER > τ (Extension 1 active)
0.175,100,0.11,0.1774,0.0808,0.179,0.0797,0.4976,0.498,0.9929,0.9932,82.0,82,82.0,82,Always encrypts (no abort control),Aborts when QBER > τ (Extension 1 active)
0.2,100,0.11,0.2008,0.0855,0.2019,0.0864,0.4996,0.5001,0.9933,0.992,84.0,84,88.0,88,Always encrypts (no abort control),Aborts when QBER > τ (Extension 1 active)
0.25,100,0.11,0.2466,0.0792,0.2549,0.083,0.5013,0.5001,0.9932,0.9929,99.0,99,99.0,99,Always encrypts (no abort control),Aborts when QBER > τ (Extension 1 active)
